,Postal Code,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
92,M5W,Downtown Toronto,Stn A PO Boxes,43.6464352,-79.37484599999999,1.0,Coffee Shop,Seafood Restaurant,Japanese Restaurant,Restaurant,Café,Beer Bar,Cocktail Bar,Hotel,Italian Restaurant,Park
93,M8W,Etobicoke,"Alderwood, Long Branch",43.60241370000001,-79.54348409999999,1.0,Pizza Place,Gym,Coffee Shop,Skating Rink,Pub,Discount Store,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant
94,M9W,Etobicoke,"Northwest, West Humber - Clairville",43.706748299999994,-79.5940544,1.0,Truck Stop,Garden Center,Drugstore,Rental Car Location,Bar,Distribution Center,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store
96,M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.667967,-79.3676753,1.0,Coffee Shop,Bakery,Restaurant,Café,Pizza Place,Pub,Chinese Restaurant,Italian Restaurant,General Entertainment,Deli / Bodega
97,M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802,1.0,Coffee Shop,Café,Hotel,Restaurant,Gym,Japanese Restaurant,Salad Place,Seafood Restaurant,Steakhouse,Deli / Bodega
98,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.653653600000005,-79.5069436,2.0,Pool,River,Park,Women's Store,Distribution Center,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store
99,M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001,1.0,Coffee Shop,Sushi Restaurant,Japanese Restaurant,Gay Bar,Restaurant,Yoga Studio,Men's Store,Fast Food Restaurant,Café,Mediterranean Restaurant
100,M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",43.6627439,-79.321558,1.0,Pizza Place,Garden,Comic Shop,Recording Studio,Restaurant,Burrito Place,Brewery,Skate Park,Light Rail Station,Farmers Market
101,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.6362579,-79.49850909999999,4.0,Baseball Field,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Women's Store,Farmers Market
102,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.6288408,-79.52099940000001,1.0,Grocery Store,Tanning Salon,Convenience Store,Discount Store,Burrito Place,Burger Joint,Sandwich Place,Social Club,Supplement Shop,Bakery
